He,errHe,U,errU,Th,errTh,Sm,errSm
3.6,0.22,222.97,13.38,873.21,52.39,35389.84,2123.39
2.97,0.18,151.34,9.08,793.11,47.59,22037.15,1322.23
1.27,0.08,59.22,3.55,343.39,20.6,27058.67,1623.52
0.9,0.05,51.24,3.07,272.64,16.36,6663.35,399.8
1.22,0.07,59.57,3.57,315.42,18.92,15826.04,949.56
2.29,0.14,128.78,7.73,569.65,34.18,26152.55,1569.15
1.58,0.1,75.99,4.56,391.15,23.47,34627.33,2077.64
3.49,0.21,176.94,10.62,957.49,57.45,29619.33,1777.16
3.47,0.21,170.96,10.26,908.18,54.49,23986.6,1439.2
2.7,0.16,142.77,8.57,624.69,37.48,33684.15,2021.05
3.96,0.24,229.62,13.78,1152.82,69.17,48777.4,2926.64
4.26,0.26,239.94,14.4,1181.79,70.91,38162.63,2289.76
5.6,0.34,313.97,18.84,1362.34,81.74,53203.26,3192.2
5.6,0.34,213.98,12.84,1081.76,64.91,33992.02,2039.52
4.36,0.26,203.95,12.24,1151.59,69.1,93391.32,5603.48
1.45,0.09,60.27,3.62,468.14,28.09,33226.78,1993.61
1.52,0.09,70.43,4.23,403.38,24.2,37053.4,2223.2
3.65,0.22,211.81,12.71,887.88,53.27,38885.52,2333.13
1.69,0.1,92.66,5.56,471.5,28.29,8243.25,494.59
0.95,0.06,55.36,3.32,287.67,17.26,14497.34,869.84
2.15,0.13,109.53,6.57,612.95,36.78,31394.21,1883.65
1.2,0.07,61.46,3.69,340.14,20.41,6617.46,397.05
2.77,0.17,137.37,8.24,842.22,50.53,20529.67,1231.78
1.76,0.11,102.93,6.18,373.05,22.38,23247.46,1394.85
0.76,0.05,59.21,3.55,149.25,8.96,7199.15,431.95
0.95,0.06,52.95,3.18,215.91,12.95,18765.02,1125.9
0.47,0.03,24.94,1.5,141.71,8.5,4720.7,283.24
18.88,1.13,1086.21,65.17,4496.41,269.78,249622.79,14977.37
